configuration,question_group,card_hit_at_3,strict_evidence_hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5,denominator
raw_text_bm25,all,0.9333333333333333,0.5333333333333333,0.6166666666666667,0.3816666666666667,0.42944653268762767,30
raw_text_bm25,card,1.0,0.5,0.9,0.445,0.5571671742169093,10
raw_text_bm25,evidence,0.9,0.55,0.475,0.35,0.36558621192298674,20
raw_text_bm25,category_proper_noun,1.0,0.5,0.9,0.445,0.5571671742169093,10
raw_text_bm25,category_numeric_condition,1.0,0.7,0.55,0.41666666666666663,0.41807944848882767,10
raw_text_bm25,category_semantic,0.8,0.4,0.4,0.2833333333333333,0.31309297535714575,10
normalized_bm25,all,0.9,0.6666666666666666,0.725,0.43166666666666664,0.4899043430230987,30
normalized_bm25,card,0.9,0.6,0.8,0.3,0.4254142376861158,10
normalized_bm25,evidence,0.9,0.7,0.6875,0.49749999999999994,0.52214939569159,20
normalized_bm25,category_proper_noun,0.9,0.6,0.8,0.3,0.4254142376861158,10
normalized_bm25,category_numeric_condition,0.9,0.7,0.675,0.4916666666666667,0.5057077886685047,10
normalized_bm25,category_semantic,0.9,0.7,0.7,0.5033333333333333,0.5385910027146753,10
metadata_field_bm25,all,0.9333333333333333,0.6666666666666666,0.725,0.43166666666666664,0.4899043430230987,30
metadata_field_bm25,card,1.0,0.6,0.8,0.3,0.4254142376861158,10
metadata_field_bm25,evidence,0.9,0.7,0.6875,0.49749999999999994,0.52214939569159,20
metadata_field_bm25,category_proper_noun,1.0,0.6,0.8,0.3,0.4254142376861158,10
metadata_field_bm25,category_numeric_condition,0.9,0.7,0.675,0.4916666666666667,0.5057077886685047,10
metadata_field_bm25,category_semantic,0.9,0.7,0.7,0.5033333333333333,0.5385910027146753,10
oracle_structured_field_bm25,all,0.9333333333333333,0.5333333333333333,0.6916666666666667,0.4227777777777778,0.47072058267190886,30
oracle_structured_field_bm25,card,1.0,0.3,0.7,0.195,0.31788824814547206,10
oracle_structured_field_bm25,evidence,0.9,0.65,0.6875,0.5366666666666667,0.5471367499351272,20
oracle_structured_field_bm25,category_proper_noun,1.0,0.3,0.7,0.195,0.31788824814547206,10
oracle_structured_field_bm25,category_numeric_condition,0.9,0.9,0.825,0.8333333333333334,0.7794965464412875,10
oracle_structured_field_bm25,category_semantic,0.9,0.4,0.55,0.24,0.3147769534289668,10
full_vector_published,all,0.9666666666666667,0.6,0.725,0.5111111111111112,0.5370432222851463,30
full_vector_published,card,1.0,0.5,0.8,0.375,0.48157486885060097,10
full_vector_published,evidence,0.95,0.65,0.6875,0.5791666666666667,0.5647773990024192,20
full_vector_published,category_proper_noun,1.0,0.5,0.8,0.375,0.48157486885060097,10
full_vector_published,category_numeric_condition,1.0,0.6,0.675,0.55,0.5287402911138874,10
full_vector_published,category_semantic,0.9,0.7,0.7,0.6083333333333333,0.6008145068909507,10
rrf_vector_normalized,all,0.9333333333333333,0.7,0.775,0.5383333333333333,0.5748919839559729,30
rrf_vector_normalized,card,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10
rrf_vector_normalized,evidence,0.9,0.75,0.7125,0.6033333333333333,0.5965505415086586,20
rrf_vector_normalized,category_proper_noun,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10
rrf_vector_normalized,category_numeric_condition,1.0,0.8,0.725,0.6533333333333333,0.6125380013878232,10
rrf_vector_normalized,category_semantic,0.8,0.7,0.7,0.5533333333333333,0.580563081629494,10
rrf_vector_metadata,all,0.9333333333333333,0.7,0.775,0.5383333333333333,0.5748919839559729,30
rrf_vector_metadata,card,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10
rrf_vector_metadata,evidence,0.9,0.75,0.7125,0.6033333333333333,0.5965505415086586,20
rrf_vector_metadata,category_proper_noun,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10
rrf_vector_metadata,category_numeric_condition,1.0,0.8,0.725,0.6533333333333333,0.6125380013878232,10
rrf_vector_metadata,category_semantic,0.8,0.7,0.7,0.5533333333333333,0.580563081629494,10
rrf_vector_oracle_structured,all,0.9333333333333333,0.6666666666666666,0.7833333333333333,0.5227777777777778,0.5575249281733357,30
rrf_vector_oracle_structured,card,1.0,0.6,0.8,0.295,0.4210318626022308,10
rrf_vector_oracle_structured,evidence,0.9,0.7,0.775,0.6366666666666667,0.6257714609588879,20
rrf_vector_oracle_structured,category_proper_noun,1.0,0.6,0.8,0.295,0.4210318626022308,10
rrf_vector_oracle_structured,category_numeric_condition,1.0,0.8,0.85,0.79,0.7225433466889662,10
rrf_vector_oracle_structured,category_semantic,0.8,0.6,0.7,0.4833333333333333,0.5289995752288096,10
