configuration,evaluation_k,scope,query_count,card_precision,card_recall,card_f1,citation_validity,grounded_claim_precision,required_fact_recall,numeric_value_unit_condition_exact,complete_answer,quality_score,false_abstention,false_answer,unsupported_card_count,unsupported_claim_count,duplicate_card_count,critical_error,major_error,minor_error
OLD-K3,3,all,40,0.825,0.7958333333333333,0.7958333333333335,0.975,0.8125,0.39781945409662794,0.325,0.075,0.5635254645716603,0.0,0.05,0.125,0.175,0.0,0.175,0.75,0.0
OLD-K3,3,direct,30,0.8333333333333334,0.8666666666666667,0.8444444444444446,0.9666666666666667,0.75,0.4661128686128686,0.43333333333333335,0.1,0.5934262188428855,0.0,0.0,0.16666666666666666,0.23333333333333334,0.0,0.16666666666666666,0.7333333333333333,0.0
OLD-K3,3,recommendation,10,0.8,0.5833333333333333,0.65,1.0,1.0,0.1929392105479062,0.0,0.0,0.4738232017579843,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.0
OLD-K3,3,proper_noun,10,0.7,0.7,0.7,1.0,0.5,0.43046398046398043,0.5,0.1,0.5384106634106633,0.0,0.0,0.3,0.5,0.0,0.3,0.6,0.0
OLD-K3,3,numeric_condition,10,0.9,0.9,0.9,0.9,0.8,0.3116841491841492,0.2,0.1,0.5352806915306916,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0
OLD-K3,3,semantic,10,0.9,1.0,0.9333333333333332,1.0,0.95,0.6561904761904762,0.6,0.1,0.7065873015873014,0.0,0.0,0.2,0.1,0.0,0.2,0.7,0.0
OLD-K3,3,and_recommendation,10,0.8,0.5833333333333333,0.65,1.0,1.0,0.1929392105479062,0.0,0.0,0.4738232017579843,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.0
OLD-K3,5,all,40,0.825,0.7958333333333333,0.7958333333333335,0.975,0.8125,0.39781945409662794,0.325,0.075,0.5635254645716603,0.0,0.05,0.125,0.175,0.0,0.175,0.75,0.0
OLD-K3,5,direct,30,0.8333333333333334,0.8666666666666667,0.8444444444444446,0.9666666666666667,0.75,0.4661128686128686,0.43333333333333335,0.1,0.5934262188428855,0.0,0.0,0.16666666666666666,0.23333333333333334,0.0,0.16666666666666666,0.7333333333333333,0.0
OLD-K3,5,recommendation,10,0.8,0.5833333333333333,0.65,1.0,1.0,0.1929392105479062,0.0,0.0,0.4738232017579843,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.0
OLD-K3,5,proper_noun,10,0.7,0.7,0.7,1.0,0.5,0.43046398046398043,0.5,0.1,0.5384106634106633,0.0,0.0,0.3,0.5,0.0,0.3,0.6,0.0
OLD-K3,5,numeric_condition,10,0.9,0.9,0.9,0.9,0.8,0.3116841491841492,0.2,0.1,0.5352806915306916,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0
OLD-K3,5,semantic,10,0.9,1.0,0.9333333333333332,1.0,0.95,0.6561904761904762,0.6,0.1,0.7065873015873014,0.0,0.0,0.2,0.1,0.0,0.2,0.7,0.0
OLD-K3,5,and_recommendation,10,0.8,0.5833333333333333,0.65,1.0,1.0,0.1929392105479062,0.0,0.0,0.4738232017579843,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.0
OLD-K5,3,all,40,0.7958333333333334,0.7895833333333333,0.7797619047619049,0.975,0.7825,0.39260285306480963,0.325,0.075,0.5549774596377858,0.0,0.05,0.175,0.225,0.0,0.225,0.725,0.0
OLD-K5,3,direct,30,0.8277777777777778,0.8666666666666667,0.8388888888888889,1.0,0.75,0.44166842416842417,0.43333333333333335,0.1,0.5939817743984411,0.0,0.0,0.23333333333333334,0.26666666666666666,0.0,0.23333333333333334,0.7,0.0
OLD-K5,3,recommendation,10,0.7,0.5583333333333333,0.6023809523809524,0.9,0.8800000000000001,0.24540613975396583,0.0,0.0,0.4379645153558197,0.0,0.2,0.0,0.1,0.0,0.2,0.8,0.0
OLD-K5,3,proper_noun,10,0.6,0.6,0.6,1.0,0.4,0.43046398046398043,0.5,0.1,0.5050773300773301,0.0,0.0,0.4,0.6,0.0,0.4,0.5,0.0
OLD-K5,3,numeric_condition,10,1.0,1.0,1.0,1.0,0.9,0.34501748251748254,0.2,0.1,0.5908362470862472,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0
OLD-K5,3,semantic,10,0.8833333333333334,1.0,0.9166666666666666,1.0,0.95,0.5495238095238095,0.6,0.1,0.686031746031746,0.0,0.0,0.3,0.1,0.0,0.3,0.7,0.0
OLD-K5,3,and_recommendation,10,0.7,0.5583333333333333,0.6023809523809524,0.9,0.8800000000000001,0.24540613975396583,0.0,0.0,0.4379645153558197,0.0,0.2,0.0,0.1,0.0,0.2,0.8,0.0
OLD-K5,5,all,40,0.79375,0.7895833333333333,0.7772619047619049,0.975,0.7825,0.39260285306480963,0.325,0.075,0.554560792971119,0.0,0.05,0.2,0.225,0.0,0.25,0.725,0.0
OLD-K5,5,direct,30,0.825,0.8666666666666667,0.8355555555555557,1.0,0.75,0.44166842416842417,0.43333333333333335,0.1,0.5934262188428855,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.26666666666666666,0.7,0.0
OLD-K5,5,recommendation,10,0.7,0.5583333333333333,0.6023809523809524,0.9,0.8800000000000001,0.24540613975396583,0.0,0.0,0.4379645153558197,0.0,0.2,0.0,0.1,0.0,0.2,0.8,0.0
OLD-K5,5,proper_noun,10,0.6,0.6,0.6,1.0,0.4,0.43046398046398043,0.5,0.1,0.5050773300773301,0.0,0.0,0.4,0.6,0.0,0.4,0.5,0.0
OLD-K5,5,numeric_condition,10,1.0,1.0,1.0,1.0,0.9,0.34501748251748254,0.2,0.1,0.5908362470862472,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0
OLD-K5,5,semantic,10,0.875,1.0,0.9066666666666666,1.0,0.95,0.5495238095238095,0.6,0.1,0.6843650793650793,0.0,0.0,0.4,0.1,0.0,0.4,0.7,0.0
OLD-K5,5,and_recommendation,10,0.7,0.5583333333333333,0.6023809523809524,0.9,0.8800000000000001,0.24540613975396583,0.0,0.0,0.4379645153558197,0.0,0.2,0.0,0.1,0.0,0.2,0.8,0.0
STRUCT-K3,3,all,40,0.8,0.8,0.7916666666666667,0.975,0.8791666666666667,0.3978126191441409,0.325,0.05,0.5697743254129123,0.0,0.1,0.1,0.125,0.0,0.2,0.75,0.0
STRUCT-K3,3,direct,30,0.8666666666666667,0.9,0.8777777777777779,0.9666666666666667,0.85,0.4302764827764828,0.43333333333333335,0.06666666666666667,0.6041201545368212,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.8,0.0
STRUCT-K3,3,recommendation,10,0.6,0.5,0.5333333333333333,1.0,0.9666666666666666,0.3004210282471152,0.0,0.0,0.4667368380411858,0.0,0.4,0.0,0.1,0.0,0.4,0.6,0.0
STRUCT-K3,3,proper_noun,10,0.8,0.8,0.8,1.0,0.7,0.43431013431013427,0.5,0.1,0.589051689051689,0.0,0.0,0.2,0.3,0.0,0.2,0.7,0.0
STRUCT-K3,3,numeric_condition,10,1.0,1.0,1.0,1.0,1.0,0.38604312354312353,0.2,0.1,0.6143405205905206,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
STRUCT-K3,3,semantic,10,0.8,0.9,0.8333333333333333,0.9,0.85,0.4704761904761905,0.6,0.0,0.6089682539682539,0.0,0.0,0.2,0.1,0.0,0.2,0.8,0.0
STRUCT-K3,3,and_recommendation,10,0.6,0.5,0.5333333333333333,1.0,0.9666666666666666,0.3004210282471152,0.0,0.0,0.4667368380411858,0.0,0.4,0.0,0.1,0.0,0.4,0.6,0.0
STRUCT-K3,5,all,40,0.8,0.8,0.7916666666666667,0.975,0.8791666666666667,0.3978126191441409,0.325,0.05,0.5697743254129123,0.0,0.1,0.1,0.125,0.0,0.2,0.75,0.0
STRUCT-K3,5,direct,30,0.8666666666666667,0.9,0.8777777777777779,0.9666666666666667,0.85,0.4302764827764828,0.43333333333333335,0.06666666666666667,0.6041201545368212,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.8,0.0
STRUCT-K3,5,recommendation,10,0.6,0.5,0.5333333333333333,1.0,0.9666666666666666,0.3004210282471152,0.0,0.0,0.4667368380411858,0.0,0.4,0.0,0.1,0.0,0.4,0.6,0.0
STRUCT-K3,5,proper_noun,10,0.8,0.8,0.8,1.0,0.7,0.43431013431013427,0.5,0.1,0.589051689051689,0.0,0.0,0.2,0.3,0.0,0.2,0.7,0.0
STRUCT-K3,5,numeric_condition,10,1.0,1.0,1.0,1.0,1.0,0.38604312354312353,0.2,0.1,0.6143405205905206,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
STRUCT-K3,5,semantic,10,0.8,0.9,0.8333333333333333,0.9,0.85,0.4704761904761905,0.6,0.0,0.6089682539682539,0.0,0.0,0.2,0.1,0.0,0.2,0.8,0.0
STRUCT-K3,5,and_recommendation,10,0.6,0.5,0.5333333333333333,1.0,0.9666666666666666,0.3004210282471152,0.0,0.0,0.4667368380411858,0.0,0.4,0.0,0.1,0.0,0.4,0.6,0.0
STRUCT-K5,3,all,40,0.7708333333333334,0.8,0.7791666666666667,0.95,0.7416666666666667,0.3783817269686835,0.3,0.05,0.5332025100503363,0.0,0.05,0.175,0.25,0.0,0.25,0.725,0.0
STRUCT-K5,3,direct,30,0.7944444444444445,0.8333333333333334,0.8055555555555556,0.9666666666666667,0.7,0.4122395197395197,0.4,0.06666666666666667,0.558521401438068,0.0,0.0,0.23333333333333334,0.3,0.0,0.23333333333333334,0.7333333333333333,0.0
STRUCT-K5,3,recommendation,10,0.7,0.7,0.7,0.9,0.8666666666666668,0.2768083486561747,0.0,0.0,0.4572458358871402,0.0,0.2,0.0,0.1,0.0,0.3,0.7,0.0
STRUCT-K5,3,proper_noun,10,0.6,0.6,0.6,1.0,0.4,0.43046398046398043,0.5,0.0,0.4884106634106634,0.0,0.0,0.4,0.6,0.0,0.4,0.6,0.0
STRUCT-K5,3,numeric_condition,10,0.9,0.9,0.9,0.9,0.75,0.3317307692307692,0.2,0.1,0.5302884615384615,0.0,0.0,0.0,0.2,0.0,0.0,0.9,0.0
STRUCT-K5,3,semantic,10,0.8833333333333334,1.0,0.9166666666666666,1.0,0.95,0.4745238095238095,0.5,0.1,0.6568650793650793,0.0,0.0,0.3,0.1,0.0,0.3,0.7,0.0
STRUCT-K5,3,and_recommendation,10,0.7,0.7,0.7,0.9,0.8666666666666668,0.2768083486561747,0.0,0.0,0.4572458358871402,0.0,0.2,0.0,0.1,0.0,0.3,0.7,0.0
STRUCT-K5,5,all,40,0.7708333333333334,0.8,0.7791666666666667,0.95,0.7416666666666667,0.3783817269686835,0.3,0.05,0.5332025100503363,0.0,0.05,0.175,0.25,0.0,0.25,0.725,0.0
STRUCT-K5,5,direct,30,0.7944444444444445,0.8333333333333334,0.8055555555555556,0.9666666666666667,0.7,0.4122395197395197,0.4,0.06666666666666667,0.558521401438068,0.0,0.0,0.23333333333333334,0.3,0.0,0.23333333333333334,0.7333333333333333,0.0
STRUCT-K5,5,recommendation,10,0.7,0.7,0.7,0.9,0.8666666666666668,0.2768083486561747,0.0,0.0,0.4572458358871402,0.0,0.2,0.0,0.1,0.0,0.3,0.7,0.0
STRUCT-K5,5,proper_noun,10,0.6,0.6,0.6,1.0,0.4,0.43046398046398043,0.5,0.0,0.4884106634106634,0.0,0.0,0.4,0.6,0.0,0.4,0.6,0.0
STRUCT-K5,5,numeric_condition,10,0.9,0.9,0.9,0.9,0.75,0.3317307692307692,0.2,0.1,0.5302884615384615,0.0,0.0,0.0,0.2,0.0,0.0,0.9,0.0
STRUCT-K5,5,semantic,10,0.8833333333333334,1.0,0.9166666666666666,1.0,0.95,0.4745238095238095,0.5,0.1,0.6568650793650793,0.0,0.0,0.3,0.1,0.0,0.3,0.7,0.0
STRUCT-K5,5,and_recommendation,10,0.7,0.7,0.7,0.9,0.8666666666666668,0.2768083486561747,0.0,0.0,0.4572458358871402,0.0,0.2,0.0,0.1,0.0,0.3,0.7,0.0
