comparison,weight,depth,system,view,group,denominator,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_raw,all,30,0.9333333333333333,0.7333333333333333,0.775,0.5355555555555556,0.5757859162265218
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_raw,evidence,20,0.9,0.75,0.7125,0.6199999999999999,0.6128787801395787
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_raw,numeric,10,1.0,0.8,0.725,0.6366666666666666,0.6082874540068094
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6444677440585369,0.8972222222222221,0.7989469021033717
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,answer_bearing_raw,evidence,20,0.9,0.9,0.6416558441558441,0.8791666666666667,0.7484203531550575
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,answer_bearing_raw,numeric,10,1.0,1.0,0.7045238095238096,0.9333333333333332,0.792000921150885
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592301
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8,0.8,0.6205555555555555,0.6441767378744906
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143119
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_exact_doc_dedup,evidence,20,0.9,0.75,0.75,0.7058333333333333,0.6823467177045799
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,no_reranker,strict_exact_doc_dedup,numeric,10,1.0,0.8,0.8,0.7583333333333333,0.7103163044939572
