configuration,question_group,stage1_card_hit_at_1,stage1_card_hit_at_1_denominator,stage1_card_hit_at_3,stage1_card_hit_at_3_denominator,stage1_oracle_ceiling,stage1_oracle_ceiling_denominator,card_hit_at_3,card_hit_at_3_denominator,strict_evidence_hit_at_3,strict_evidence_hit_at_3_denominator,recall_at_5,recall_at_5_denominator,mrr_at_5,mrr_at_5_denominator,ndcg_at_5,ndcg_at_5_denominator
full_vector,all,,0,,0,,0,0.9666666666666667,30,0.6,30,0.725,30,0.5111111111111112,30,0.5370432222851463,30
full_vector,card_question,,0,,0,,0,1.0,10,0.5,10,0.8,10,0.375,10,0.48157486885060097,10
full_vector,evidence_question,,0,,0,,0,0.95,20,0.65,20,0.6875,20,0.5791666666666667,20,0.5647773990024192,20
full_vector,category_proper_noun,,0,,0,,0,1.0,10,0.5,10,0.8,10,0.375,10,0.48157486885060097,10
full_vector,category_numeric_condition,,0,,0,,0,1.0,10,0.6,10,0.675,10,0.55,10,0.5287402911138874,10
full_vector,category_semantic,,0,,0,,0,0.9,10,0.7,10,0.7,10,0.6083333333333333,10,0.6008145068909507,10
full_rrf_equal,all,,0,,0,,0,0.9,30,0.6,30,0.725,30,0.45388888888888884,30,0.5036922394548896,30
full_rrf_equal,card_question,,0,,0,,0,1.0,10,0.6,10,0.9,10,0.3583333333333333,10,0.4946678442077467,10
full_rrf_equal,evidence_question,,0,,0,,0,0.85,20,0.6,20,0.6375,20,0.5016666666666667,20,0.5082044370784609,20
full_rrf_equal,category_proper_noun,,0,,0,,0,1.0,10,0.6,10,0.9,10,0.3583333333333333,10,0.4946678442077467,10
full_rrf_equal,category_numeric_condition,,0,,0,,0,1.0,10,0.7,10,0.625,10,0.5333333333333333,10,0.5136895276511826,10
full_rrf_equal,category_semantic,,0,,0,,0,0.7,10,0.5,10,0.65,10,0.47000000000000003,10,0.5027193465057394,10
existing_rrf_filtered,all,,0,,0,,0,0.9,30,0.7,30,0.625,30,0.65,30,0.6115867824726673,30
existing_rrf_filtered,card_question,,0,,0,,0,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
existing_rrf_filtered,evidence_question,,0,,0,,0,0.85,20,0.55,20,0.4375,20,0.475,20,0.41738017370900093,20
existing_rrf_filtered,category_proper_noun,,0,,0,,0,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
existing_rrf_filtered,category_numeric_condition,,0,,0,,0,1.0,10,0.7,10,0.475,10,0.6,10,0.4716673720608563,10
existing_rrf_filtered,category_semantic,,0,,0,,0,0.7,10,0.4,10,0.4,10,0.35,10,0.3630929753571458,10
true_v_to_v,all,0.7666666666666667,30,0.8666666666666667,30,1.0,30,0.8666666666666667,30,0.7333333333333333,30,0.7333333333333333,30,0.6861111111111111,30,0.6861755641272076,30
true_v_to_v,card_question,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_v,evidence_question,0.65,20,0.8,20,1.0,20,0.8,20,0.6,20,0.6,20,0.5291666666666667,20,0.5292633461908114,20
true_v_to_v,category_proper_noun,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
