oracle,configuration,depth,lambda,view,group,denominator,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,all,30,0.9333333333333333,0.7666666666666667,0.75,0.5455555555555556,0.5593158790161776
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,evidence,20,0.9,0.8,0.675,0.635,0.5881737243240628
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,numeric,10,1.0,0.9,0.65,0.6666666666666667,0.5588773423757772
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6163725059632987,0.8972222222222223,0.7696127605140451
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,evidence,20,0.9,0.9,0.5995129870129869,0.8791666666666667,0.7044191407710677
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,numeric,10,1.0,1.0,0.6202380952380953,0.9333333333333333,0.7039984963829052
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592302
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8333333333333334,0.775,0.6233333333333333,0.6271479919270159
