depth,system,group,denominator,card_hit_at_3,card_hit_at_3_denominator,card_mrr_at_5,card_mrr_at_5_denominator,hit_at_3,hit_at_3_denominator,recall_at_5,recall_at_5_denominator,mrr_at_5,mrr_at_5_denominator,ndcg_at_5,ndcg_at_5_denominator,provenance
10,all_bge,all,30,1.0,30,0.9833333333333333,30,1.0,20,0.975,20,0.95,20,0.9340093685314024,20,top10_offline_followup
10,all_bge,card,10,1.0,10,1.0,10,,0,,0,,0,,0,top10_offline_followup
10,all_bge,evidence,20,1.0,20,0.975,20,1.0,20,0.975,20,0.95,20,0.9340093685314024,20,top10_offline_followup
10,all_bge,numeric,10,1.0,10,1.0,10,1.0,10,1.0,10,0.95,10,0.9436110424291133,10,top10_offline_followup
10,all_bge,semantic,10,1.0,10,0.95,10,1.0,10,0.95,10,0.95,10,0.9244076946336917,10,top10_offline_followup
10,all_gte,all,30,1.0,30,0.9666666666666667,30,1.0,20,0.975,20,0.925,20,0.9100482328920902,20,top10_offline_followup
10,all_gte,card,10,1.0,10,1.0,10,,0,,0,,0,,0,top10_offline_followup
10,all_gte,evidence,20,1.0,20,0.95,20,1.0,20,0.975,20,0.925,20,0.9100482328920902,20,top10_offline_followup
10,all_gte,numeric,10,1.0,10,1.0,10,1.0,10,1.0,10,0.95,10,0.944874264259538,10,top10_offline_followup
10,all_gte,semantic,10,1.0,10,0.9,10,1.0,10,0.95,10,0.9,10,0.8752222015246423,10,top10_offline_followup
10,no_reranker,all,30,0.9666666666666667,30,0.95,30,0.9,20,0.8583333333333332,20,0.875,20,0.8464579186236862,20,top10_offline_followup
10,no_reranker,card,10,1.0,10,1.0,10,,0,,0,,0,,0,top10_offline_followup
10,no_reranker,evidence,20,0.95,20,0.925,20,0.9,20,0.8583333333333332,20,0.875,20,0.8464579186236862,20,top10_offline_followup
10,no_reranker,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10,top10_offline_followup
10,no_reranker,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10,top10_offline_followup
10,selective_bge,all,30,1.0,30,0.9833333333333333,30,0.95,20,0.9083333333333332,20,0.925,20,0.9004718791662768,20,top10_offline_followup
