configuration,system,candidate_weight,top_k,question_group,denominator,card_hit_at_3,strict_evidence_hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.5_bm25_0.5_no_reranker,no_reranker,vector_0.5_bm25_0.5,50,all,30,0.9333333333333333,0.7,0.775,0.5383333333333333,0.5748919839559729
vector_0.5_bm25_0.5_no_reranker,no_reranker,vector_0.5_bm25_0.5,50,card,10,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009
vector_0.5_bm25_0.5_no_reranker,no_reranker,vector_0.5_bm25_0.5,50,evidence,20,0.9,0.75,0.7125,0.6033333333333333,0.5965505415086586
vector_0.5_bm25_0.5_no_reranker,no_reranker,vector_0.5_bm25_0.5,50,category:numeric_condition,10,1.0,0.8,0.725,0.6533333333333333,0.6125380013878232
vector_0.5_bm25_0.5_no_reranker,no_reranker,vector_0.5_bm25_0.5,50,category:proper_noun,10,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009
vector_0.5_bm25_0.5_no_reranker,no_reranker,vector_0.5_bm25_0.5,50,category:semantic,10,0.8,0.7,0.7,0.5533333333333333,0.580563081629494
vector_0.4_bm25_0.6_no_reranker,no_reranker,vector_0.4_bm25_0.6,50,all,30,0.9333333333333333,0.7333333333333333,0.775,0.5355555555555556,0.5757859162265218
vector_0.4_bm25_0.6_no_reranker,no_reranker,vector_0.4_bm25_0.6,50,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
vector_0.4_bm25_0.6_no_reranker,no_reranker,vector_0.4_bm25_0.6,50,evidence,20,0.9,0.75,0.7125,0.6199999999999999,0.6128787801395787
vector_0.4_bm25_0.6_no_reranker,no_reranker,vector_0.4_bm25_0.6,50,category:numeric_condition,10,1.0,0.8,0.725,0.6366666666666666,0.6082874540068094
vector_0.4_bm25_0.6_no_reranker,no_reranker,vector_0.4_bm25_0.6,50,category:proper_noun,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
vector_0.4_bm25_0.6_no_reranker,no_reranker,vector_0.4_bm25_0.6,50,category:semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
vector_0.5_bm25_0.5_top20,gte_reranker,vector_0.5_bm25_0.5,20,all,30,0.9333333333333333,0.5666666666666667,0.7166666666666667,0.43444444444444447,0.48818575275327375
vector_0.5_bm25_0.5_top20,gte_reranker,vector_0.5_bm25_0.5,20,card,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.5_bm25_0.5_top20,gte_reranker,vector_0.5_bm25_0.5,20,evidence,20,0.9,0.55,0.675,0.49333333333333335,0.5130250226082798
vector_0.5_bm25_0.5_top20,gte_reranker,vector_0.5_bm25_0.5,20,category:numeric_condition,10,0.9,0.4,0.65,0.26166666666666666,0.3603529508561286
vector_0.5_bm25_0.5_top20,gte_reranker,vector_0.5_bm25_0.5,20,category:proper_noun,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
