weight,variant,system,view,group,denominator,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,strict_raw,evidence,20,0.9,0.8,0.75,0.6458333333333333,0.6563004388123792
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,strict_raw,numeric,10,1.0,0.9,0.8,0.6833333333333333,0.6924437303720807
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,strict_raw,semantic,10,0.8,0.7,0.7,0.6083333333333333,0.6201571472526777
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_raw,evidence,20,0.9,0.9,0.5184018759018759,0.8891666666666668,0.6618436426922727
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_raw,numeric,10,1.0,1.0,0.5419047619047619,0.9333333333333333,0.6746982588516373
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_raw,semantic,10,0.8,0.8,0.49489898989898984,0.845,0.6489890265329084
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,strict_exact_doc_dedup,evidence,20,0.9,0.8,0.75,0.7208333333333333,0.7020506525411576
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,strict_exact_doc_dedup,numeric,10,1.0,0.9,0.8,0.7833333333333333,0.7470371331867833
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6583333333333333,0.657064171895532
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.506765873015873,0.8916666666666666,0.6215684185189324
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.5283333333333333,0.9333333333333333,0.6239363071710939
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.4851984126984127,0.85,0.6192005298667709
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,1.0,0.8891666666666668,0.9158764682653967
vector_0.4_bm25_0.6,leaf_only_top20,no_reranker,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
