grid_order,configuration,k1,b,vector_weight,bm25_weight,group,denominator,card_hit_at_3,card_hit_at_3_denominator,card_mrr_at_5,card_mrr_at_5_denominator,answer_hit_at_3,answer_hit_at_3_denominator,answer_recall_at_5,answer_recall_at_5_denominator,answer_mrr_at_5,answer_mrr_at_5_denominator,answer_ndcg_at_5,answer_ndcg_at_5_denominator
0,k1_1.2_b_0.5_vector_0.3_bm25_0.7,1.2,0.5,0.3,0.7,all,30,0.9666666666666667,30,0.9277777777777777,30,0.9,20,0.9,20,0.8166666666666667,20,0.8204570258581952,20
0,k1_1.2_b_0.5_vector_0.3_bm25_0.7,1.2,0.5,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
0,k1_1.2_b_0.5_vector_0.3_bm25_0.7,1.2,0.5,0.3,0.7,evidence,20,0.95,20,0.8916666666666666,20,0.9,20,0.9,20,0.8166666666666667,20,0.8204570258581952,20
0,k1_1.2_b_0.5_vector_0.3_bm25_0.7,1.2,0.5,0.3,0.7,numeric,10,1.0,10,0.9333333333333332,10,0.9,10,0.9,10,0.7833333333333333,10,0.8008145068909507,10
0,k1_1.2_b_0.5_vector_0.3_bm25_0.7,1.2,0.5,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.9,10,0.85,10,0.8400995448254399,10
1,k1_1.2_b_0.5_vector_0.4_bm25_0.6,1.2,0.5,0.4,0.6,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.875,20,0.85,20,0.8381097736272866,20
1,k1_1.2_b_0.5_vector_0.4_bm25_0.6,1.2,0.5,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
1,k1_1.2_b_0.5_vector_0.4_bm25_0.6,1.2,0.5,0.4,0.6,evidence,20,0.95,20,0.9,20,0.9,20,0.875,20,0.85,20,0.8381097736272866,20
1,k1_1.2_b_0.5_vector_0.4_bm25_0.6,1.2,0.5,0.4,0.6,numeric,10,1.0,10,0.95,10,0.9,10,0.9,10,0.85,10,0.8598397737060626,10
1,k1_1.2_b_0.5_vector_0.4_bm25_0.6,1.2,0.5,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
2,k1_1.2_b_0.5_vector_0.5_bm25_0.5,1.2,0.5,0.5,0.5,all,30,0.9333333333333333,30,0.9316666666666666,30,0.85,20,0.8583333333333334,20,0.8125,20,0.7995382342059287,20
2,k1_1.2_b_0.5_vector_0.5_bm25_0.5,1.2,0.5,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
2,k1_1.2_b_0.5_vector_0.5_bm25_0.5,1.2,0.5,0.5,0.5,evidence,20,0.9,20,0.8975,20,0.85,20,0.8583333333333334,20,0.8125,20,0.7995382342059287,20
2,k1_1.2_b_0.5_vector_0.5_bm25_0.5,1.2,0.5,0.5,0.5,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
2,k1_1.2_b_0.5_vector_0.5_bm25_0.5,1.2,0.5,0.5,0.5,semantic,10,0.8,10,0.845,10,0.8,10,0.85,10,0.825,10,0.7963544539987039,10
