comparison,weight,depth,system,view,group,denominator,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_raw,all,30,0.9666666666666667,0.7333333333333333,0.775,0.5761111111111111,0.5918615789225493
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_raw,evidence,20,0.95,0.75,0.7125,0.6808333333333334,0.6369922741836201
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_raw,numeric,10,1.0,0.8,0.725,0.6366666666666666,0.6082874540068094
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_raw,semantic,10,0.9,0.7,0.7,0.725,0.665697094360431
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_raw,all,30,0.9666666666666667,0.9666666666666667,0.6595603366511296,0.9066666666666666,0.8097020127132938
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_raw,evidence,20,0.95,0.95,0.6642947330447331,0.8933333333333333,0.7645530190699408
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_raw,numeric,10,1.0,1.0,0.7045238095238096,0.9333333333333332,0.792000921150885
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_raw,semantic,10,0.9,0.9,0.6240656565656566,0.8533333333333333,0.737105116988997
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_exact_doc_dedup,all,30,0.9666666666666667,0.8333333333333334,0.8,0.6472222222222223,0.6502608404204537
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143119
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_exact_doc_dedup,evidence,20,0.95,0.8,0.75,0.7458333333333333,0.6914728715235243
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_exact_doc_dedup,numeric,10,1.0,0.8,0.8,0.7583333333333333,0.7103163044939572
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,strict_exact_doc_dedup,semantic,10,0.9,0.8,0.7,0.7333333333333334,0.6726294385530917
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_exact_doc_dedup,all,30,0.9666666666666667,0.9666666666666667,0.7022354497354496,0.9066666666666666,0.8081454365124673
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_exact_doc_dedup,evidence,20,0.95,0.95,0.7114087301587301,0.8933333333333333,0.7687784086443181
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.7816666666666666,0.9333333333333332,0.8051214289021191
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_exact_doc_dedup,semantic,10,0.9,0.9,0.6411507936507936,0.8533333333333333,0.7324353883865171
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_gold_family_oracle,all,30,0.9666666666666667,0.9666666666666667,1.0,0.9066666666666666,0.9295617602411513
vector_0.4_bm25_0.6_top20,vector_0.4_bm25_0.6,20,gold_query_type_selective_oracle,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
